Timestamp,F3 Value,F3 Quality,FC5 Value,5C5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,X Value,Y Value,Z Value
2018-08-28 16:48:59.550585,-163,0,-304,0,-119,0,-128,0,-247,0,-187,0,-149,0,-170,0,-286,0,-121,0,-159,0,-198,0,-213,0,18,23,?
2018-08-28 16:48:59.551431,26,0,63,0,-124,0,-127,0,57,0,49,0,-14,0,-2,0,-66,0,-100,0,56,0,-69,0,-155,0,22,24,?
2018-08-28 16:48:59.552320,21,0,55,0,-122,0,-125,0,60,0,57,0,-15,0,3,0,-41,0,-100,0,54,0,-65,0,-156,0,21,24,?
2018-08-28 16:48:59.553323,32,0,61,0,-122,0,-125,0,62,0,62,0,-30,0,10,0,21,0,-100,0,69,0,-68,0,-147,0,21,24,?
2018-08-28 16:48:59.554313,46,0,80,0,-124,0,-127,0,60,0,54,0,-20,0,14,0,17,0,-100,0,77,0,-69,0,-148,0,21,24,?
2018-08-28 16:48:59.555295,36,0,72,0,-123,0,-125,0,60,0,57,0,-1,0,21,0,-51,0,-100,0,64,0,-64,0,-155,0,22,24,?
2018-08-28 16:48:59.556297,44,0,68,0,-122,0,-121,0,65,0,71,0,-11,0,24,0,-27,0,-100,0,74,0,-63,0,-144,0,22,24,?
2018-08-28 16:48:59.557320,65,656,92,0,-123,0,-123,0,62,0,58,0,-30,0,14,0,67,0,-100,0,94,0,-72,0,-136,0,22,24,?
2018-08-28 16:48:59.558301,43,656,80,2216,-127,0,-122,0,50,0,29,0,-38,0,-6,0,5,0,-100,0,69,0,-78,0,-149,0,22,24,?
2018-08-28 16:48:59.559297,28,656,55,2216,-128,0,-120,0,56,0,41,0,-33,0,1,0,-80,0,-100,0,60,0,-67,0,-154,0,22,24,?
2018-08-28 16:48:59.566324,57,656,83,2216,-122,0,-125,0,67,0,52,0,-20,0,29,0,10,0,-100,0,91,0,-60,0,-148,0,22,24,?
2018-08-28 16:48:59.574345,66,656,97,2216,-121,0,-126,24,59,0,35,0,-5,0,34,0,72,0,-100,0,98,0,-66,0,-149,0,22,24,?
2018-08-28 16:48:59.583256,57,656,82,2216,-124,0,-123,24,58,4880,46,0,-2,0,28,0,47,0,-100,0,86,0,-64,0,-147,0,22,24,?
2018-08-28 16:48:59.590335,45,656,82,2216,-119,0,-125,24,60,4880,52,7168,-23,0,12,0,7,0,-100,0,76,0,-63,0,-148,0,22,24,?
2018-08-28 16:48:59.597344,26,656,69,2216,-114,0,-125,24,53,4880,36,7168,-33,7392,-3,0,-43,0,-100,0,68,0,-69,0,-152,0,22,24,?
2018-08-28 16:48:59.605314,43,656,63,2216,-119,0,-122,24,56,4880,51,7168,-22,7392,11,1144,-15,0,-100,0,89,0,-67,0,-145,0,22,24,?
2018-08-28 16:48:59.613315,68,656,87,2216,-124,0,-124,24,66,4880,67,7168,-27,7392,21,1144,25,5336,-100,0,105,0,-64,0,-142,0,22,24,?
2018-08-28 16:48:59.621301,45,656,96,2216,-125,0,-124,24,61,4880,42,7168,-39,7392,-4,1144,-51,5336,-100,16,81,0,-68,0,-152,0,22,24,?
2018-08-28 16:48:59.629295,27,656,73,2216,-121,0,-121,24,55,4880,27,7168,-23,7392,-10,1144,-88,5336,-100,16,78,6520,-62,0,-154,0,22,24,?
2018-08-28 16:48:59.637310,36,656,63,2216,-119,0,-126,24,61,4880,49,7168,-13,7392,12,1144,9,5336,-100,16,90,6520,-67,3560,-153,0,22,24,?
2018-08-28 16:48:59.645345,19,656,62,2216,-119,0,-122,24,70,4880,75,7168,-30,7392,7,1144,16,5336,-100,16,57,6520,-89,3560,-165,5272,22,24,?
2018-08-28 16:48:59.652972,-4,656,55,2216,-124,0,-116,24,67,4880,88,7168,-28,7392,-5,1144,-62,5336,-100,0,26,6520,-88,3560,-175,5272,22,24,?
2018-08-28 16:48:59.660480,-4,656,54,2216,-126,0,-122,24,61,4880,74,7168,-19,7392,4,1144,-33,5336,-100,0,35,6512,-70,3560,-174,5272,22,24,?
2018-08-28 16:48:59.668342,11,656,57,2216,-119,0,-122,24,55,4880,28,7168,-37,7392,-4,1144,-40,5336,-100,0,57,6512,-71,3568,-153,5272,22,24,?
2018-08-28 16:48:59.676344,11,656,57,2216,-119,0,-122,24,55,4880,28,7168,-37,7392,-4,1144,-40,5336,-100,0,57,6512,-71,3568,-153,5272,22,24,?
2018-08-28 16:48:59.689396,22,656,75,2216,-119,0,-121,24,65,4880,40,7168,-27,7392,-4,1144,-79,5336,-100,0,55,6512,-82,3568,-153,5272,22,24,?
2018-08-28 16:48:59.692333,31,656,81,2216,-121,0,-120,24,76,4880,53,7168,-23,7392,4,1144,-28,5336,-97,0,63,6512,-81,3568,-152,5272,22,24,?
2018-08-28 16:48:59.700324,55,656,95,2216,-122,0,-121,24,70,4880,73,7168,-21,7392,14,1144,33,5336,-95,0,85,6512,-65,3568,-147,5272,22,24,?
2018-08-28 16:48:59.708300,65,656,115,2216,-118,0,-128,24,59,4880,70,7168,-24,7392,8,1144,-1,5336,-97,0,100,6512,-60,3568,-143,5272,22,24,?
2018-08-28 16:48:59.716302,60,656,120,2216,-116,0,-128,24,58,4880,45,7168,-24,7392,-3,1144,-35,5336,-98,0,105,6512,-68,3568,-137,5272,22,24,?
2018-08-28 16:48:59.723300,75,656,127,2216,-119,0,-123,24,66,4880,47,7168,-27,7392,-1,1144,-27,5336,-98,0,118,6512,-62,3568,-129,5272,22,23,?
2018-08-28 16:48:59.731318,98,656,153,2216,-122,0,-127,24,79,4880,70,7168,-37,7392,1,1144,-18,5336,-98,0,143,6512,-60,3568,-124,5272,22,23,?
2018-08-28 16:48:59.739301,96,656,174,2216,-124,0,-127,24,75,4880,65,7168,-19,7392,5,1144,3,5336,-98,0,169,6512,-65,3568,-123,5272,22,23,?
2018-08-28 16:48:59.747321,99,656,189,2216,-123,0,-125,24,67,4880,51,7168,-6,7392,2,1144,-6,5336,-98,0,182,6512,-61,3568,-126,5272,22,24,?
2018-08-28 16:48:59.755299,97,656,186,2216,-123,0,-125,24,71,4880,46,7168,-37,7392,-13,1144,-47,5336,-98,0,171,6512,-61,3568,-142,5272,22,23,?
2018-08-28 16:48:59.763297,69,656,157,2216,-120,0,-123,24,69,4880,33,7168,-55,7392,-10,1144,-21,5336,-98,0,155,6512,-64,3568,-159,5272,22,24,?
2018-08-28 16:48:59.771306,72,656,169,2216,-120,0,-123,24,73,4880,44,7168,-28,7392,13,1144,18,5336,-98,0,162,6512,-63,3568,-145,5272,22,24,?
2018-08-28 16:48:59.778287,91,656,191,2216,-124,0,-124,24,82,4880,64,7168,-14,7392,6,1144,-42,5336,-98,0,163,6512,-62,3568,-132,5272,22,24,?
2018-08-28 16:48:59.786305,76,656,149,2216,-122,0,-121,24,76,4880,59,7168,-28,7392,-6,1144,-78,5336,-98,0,154,6512,-63,3568,-142,5272,22,24,?
2018-08-28 16:48:59.794288,64,656,126,2216,-119,0,-123,24,65,4880,55,7168,-29,7392,6,1144,-24,5336,-98,0,152,6512,-64,3568,-150,5272,22,24,?
2018-08-28 16:48:59.802298,65,656,148,2216,-117,0,-128,24,73,4880,63,7168,-28,7392,7,1144,-2,5336,-98,0,134,6512,-65,3568,-148,5272,22,24,?
2018-08-28 16:48:59.810300,39,656,129,2216,-119,0,-123,24,88,4880,62,7168,-28,7392,0,1144,-11,5336,-98,0,109,6512,-67,3568,-150,5272,22,24,?
2018-08-28 16:48:59.818290,26,656,92,2216,-124,0,-121,24,80,4880,62,7168,-13,7392,13,1144,9,5336,-98,0,109,6512,-67,3568,-150,5272,22,24,?
2018-08-28 16:48:59.826291,58,656,101,2216,-122,0,-127,24,70,4880,74,7168,-3,7392,35,1144,34,5336,-98,0,129,6512,-65,3568,-143,5272,22,24,?
2018-08-28 16:48:59.834289,62,656,109,2216,-117,0,-125,24,76,4880,72,7168,-16,7392,29,1144,7,5336,-98,0,116,6512,-63,3568,-144,5272,22,24,?
2018-08-28 16:48:59.842287,34,656,90,2216,-117,0,-123,24,80,4880,63,7168,-35,7392,-3,1144,-41,5336,-98,0,81,6512,-65,3568,-150,5272,22,23,?
2018-08-28 16:48:59.849295,31,656,79,2216,-124,0,-126,24,80,4880,64,7168,-25,7392,-6,1144,-21,5336,-98,0,63,6512,-68,3568,-153,5272,22,23,?
2018-08-28 16:48:59.857291,37,656,72,2216,-126,0,-126,24,77,4880,61,7168,-19,7392,15,1144,1,5336,-98,0,61,6512,-67,3568,-153,5272,22,23,?
2018-08-28 16:48:59.865295,31,656,56,2216,-121,0,-124,24,72,4880,59,7168,-24,7392,8,1144,-53,5336,-98,0,62,6512,-64,3568,-149,5272,22,23,?
2018-08-28 16:48:59.873291,27,656,52,2216,-119,0,-125,24,74,4880,70,7168,-11,7392,-1,1144,-58,5336,-98,0,58,6512,-65,3568,-152,5272,22,23,?
2018-08-28 16:48:59.881285,26,656,60,2216,-118,0,-123,24,87,4880,76,7168,3,7392,18,1144,14,5336,-98,0,49,6512,-68,3568,-154,5272,22,23,?
2018-08-28 16:48:59.889295,29,656,63,2216,-122,0,-121,24,86,4880,83,7168,-7,7392,30,1144,59,5336,-98,0,49,6512,-65,3568,-150,5272,22,23,?
2018-08-28 16:48:59.897287,26,656,58,2216,-126,0,-124,24,69,4880,95,7168,-9,7392,31,1144,33,5336,-98,0,54,6512,-63,3568,-150,5272,22,23,?
2018-08-28 16:48:59.905280,8,656,51,2216,-120,0,-125,24,70,4880,81,7168,-4,7392,22,1144,-20,5336,-98,0,43,6512,-67,3568,-152,5272,22,23,?
2018-08-28 16:48:59.912283,5,656,53,2216,-118,0,-126,24,75,4880,57,7168,-25,7392,1,1144,-20,5336,-98,0,21,6512,-69,3568,-157,5272,22,23,?
2018-08-28 16:48:59.920281,31,656,62,2216,-123,0,-124,24,84,4880,67,7168,-29,7392,6,1144,6,5336,-99,0,19,6512,-67,3568,-153,5272,22,23,?
2018-08-28 16:48:59.928310,44,656,64,2216,-117,0,-120,24,94,4880,92,7168,-4,7392,25,1144,-34,5336,-97,0,35,6512,-65,3568,-130,5272,22,23,?
2018-08-28 16:48:59.936282,33,656,60,2216,-116,0,-119,24,72,4880,82,7168,-10,7392,10,1144,-51,5336,-95,0,36,6512,-65,3568,-126,5272,22,23,?
2018-08-28 16:48:59.944297,31,656,64,2216,-122,0,-124,24,59,4880,61,7168,-26,7392,-2,1144,-11,5336,-96,0,32,6512,-65,3568,-147,5272,22,23,?
2018-08-28 16:48:59.952294,38,656,63,2216,-121,0,-126,24,76,4880,62,7168,-21,7392,6,1144,-18,5336,-98,0,33,6512,-66,3568,-146,5272,22,23,?
2018-08-28 16:48:59.960278,32,656,40,2216,-119,0,-123,24,82,4880,63,7168,-31,7392,1,1144,-19,5336,-98,0,21,6512,-69,3568,-140,5272,22,23,?
2018-08-28 16:48:59.968275,18,656,25,2216,-123,0,-125,24,57,4880,56,7168,-30,7392,-1,1144,-7,5336,-97,0,2,6512,-69,3568,-153,5272,22,23,?
2018-08-28 16:48:59.976281,27,656,42,2216,-122,0,-125,24,47,4880,61,7168,4,7392,11,1144,-43,5336,-98,0,12,6512,-66,3568,-147,5272,22,23,?
2018-08-28 16:48:59.983310,50,656,60,2216,-120,0,-123,24,65,4880,71,7168,-3,7392,6,1144,-19,5336,-98,0,25,6512,-67,3568,-128,5272,22,23,?
2018-08-28 16:48:59.991282,45,656,56,2216,-123,0,-125,24,65,4880,63,7168,-39,7392,-4,1144,5,5336,-97,0,23,6512,-69,3568,-136,5272,22,23,?
